Reference ID,Site (Mut/WT),Read Count (Mut/WT),gene
2RSSE.1c.1,3 / 20,0.021834617739033165,WBGene00007064
3R5.1a.1,1 / 19,0.011143194152179079,WBGene00007065
3R5.1b.1,1 / 18,0.012239246035867044,WBGene00007065
AC3.5a.1,1 / 13,0.02871515406426203,WBGene00007071
AC3.5b.1,1 / 13,0.02871515406426203,WBGene00007071
AC7.3.1,2 / 2,0.37329700082658046,WBGene00014997
AC8.10.1,139 / 359,0.048831984847827394,WBGene00043988
AC8.11.1,90 / 130,0.17057350977542338,WBGene00043989
AC8.3.1,125 / 324,0.04808636994928166,WBGene00007075
AC8.4.1,90 / 130,0.17057350977542338,WBGene00007076
AH10.1.1,4 / 1,4.479563992411711,WBGene00007082
AH6.5.1,1 / 24,0.01588497879377157,WBGene00003231
B0001.1a.1,1 / 30,0.012583044999697863,WBGene00003010
B0001.2.1,2 / 5,0.1493188003858652,WBGene00007087
B0001.3a.1,93 / 164,0.09317050341029223,WBGene00007088
B0001.3b.1,96 / 168,0.094998910394815,WBGene00007088
B0001.3c.1,95 / 169,0.09362725092754279,WBGene00007088
B0001.5.1,133 / 186,0.13807491462193944,WBGene00007090
B0001.6.1,5 / 6,0.31108083398332753,WBGene00007091
B0001.6.2,5 / 6,0.31108083398332753,WBGene00007091
B0001.7a.1,1 / 11,0.03393609116568469,WBGene00007092
B0001.7b.1,1 / 13,0.024886466856323196,WBGene00007092
B0001.8a.1,2 / 26,0.02514994252476726,WBGene00007093
B0001.8b.1,2 / 26,0.02514994252476726,WBGene00007093
B0001.8d.1,2 / 25,0.027977291523020437,WBGene00007093
B0001.8d.2,2 / 25,0.027977291523020437,WBGene00007093
B0001.8d.3,2 / 25,0.027977291523020437,WBGene00007093
B0001.8d.4,2 / 24,0.030742106213864938,WBGene00007093
B0024.10.1,1 / 7,0.05332814308678064,WBGene00007100
B0024.11.1,1 / 15,0.020738722313758177,WBGene00007101
B0024.6a.1,1 / 8,0.046662125348893656,WBGene00001533
B0024.6b.1,1 / 8,0.046662125348893656,WBGene00001533
B0025.1a.1,4 / 26,0.0514892415206862,WBGene00006932
B0025.1c.1,4 / 24,0.05972752016318337,WBGene00006932
B0025.4.1,3 / 12,0.06587594132190759,WBGene00015001
B0025.5.1,1 / 1,0.37329700121294285,WBGene00194700
B0034.4.1,1 / 2,0.1866485007215402,WBGene00015004
B0035.10.1,74 / 34,1.3242267881647394,WBGene00001919
B0035.11.1,3 / 14,0.0799922144610731,WBGene00007110
B0035.12.1,2 / 13,0.057430307938831755,WBGene00007111
B0035.12.2,2 / 14,0.04977293354824639,WBGene00007111
B0035.15.1,1 / 9,0.04147744462467515,WBGene00007113
B0035.16.1,1 / 45,0.004911802653515286,WBGene00007114
B0035.1a.1,1 / 7,0.0373297002814163,WBGene00007105
B0035.1b.1,1 / 7,0.0373297002814163,WBGene00007105
B0035.2.1,2 / 11,0.06787218200270452,WBGene00001020
B0035.3.1,1 / 2,0.1866485007215402,WBGene00007106
B0035.4.1,1 / 2,0.1866485007215402,WBGene00007107
B0035.6.1,10 / 21,0.12443233352240898,WBGene00007109
B0035.7.1,186 / 177,0.399413919153625,WBGene00001921
B0035.8.1,201 / 87,1.2500427682286186,WBGene00001922
B0035.9.1,70 / 65,0.3900142391863484,WBGene00001920
B0041.11.1,1 / 10,0.031996885956626885,WBGene00206362
B0041.2a.1,15 / 32,0.13830088143943883,WBGene00015007
B0041.2a.2,15 / 31,0.14343156484843456,WBGene00015007
B0041.2b.1,15 / 32,0.13830088143943883,WBGene00015007
B0041.2c.1,15 / 31,0.14343156484843456,WBGene00015007
B0041.2d.1,4 / 12,0.11730569773061536,WBGene00015007
B0041.2e.1,15 / 32,0.13830088143943883,WBGene00015007
B0041.2f.1,15 / 32,0.13830088143943883,WBGene00015007
B0041.2g.1,15 / 31,0.14343156484843456,WBGene00015007
B0041.4.1,3 / 4,0.27997275055211196,WBGene00004415
B0041.5a.1,1 / 5,0.07465940054442159,WBGene00015009
B0041.5c.1,1 / 5,0.07465940054442159,WBGene00015009
B0041.7.1,4 / 174,0.003202302702867199,WBGene00006961
B0041.8.1,1 / 11,0.033936091057397706,WBGene00015011
B0047.1.1,207 / 485,0.057711539494361135,WBGene00015012
B0047.1.2,209 / 496,0.05851283830480616,WBGene00015012
B0047.3.1,62 / 174,0.04567520812567423,WBGene00015014
B0047.4.1,142 / 188,0.1533184108963327,WBGene00015015
B0205.10.1,3 / 1,1.6798364994662662,WBGene00015024
B0205.10.2,3 / 1,1.6798364994662662,WBGene00015024
B0205.11.1,1 / 5,0.07465940031623261,WBGene00015025
B0205.12.1,40 / 65,0.23597012463548514,WBGene00044413
B0205.14.2,1 / 7,0.03861693120264862,WBGene00044646
B0205.1a.1,12 / 33,0.18706730768821478,WBGene00015017
B0205.1b.1,3 / 15,0.0930818497043955,WBGene00015017
B0205.2a.1,3 / 1,1.3065395007848368,WBGene00015018
B0205.3.1,4 / 5,0.3732970005947631,WBGene00004466
B0205.6.1,2 / 16,0.04147744455901634,WBGene00015021
B0205.7.1,3 / 6,0.18664850038725275,WBGene00002191
B0205.8.1,1 / 31,0.008681325620058467,WBGene00015022
B0205.9.1,3 / 9,0.1304727381428483,WBGene00015023
B0207.1.1,1 / 5,0.07465940054442159,WBGene00015026
B0207.1.2,1 / 5,0.07465940054442159,WBGene00015026
B0207.11.1,3 / 1,0.5599455012029143,WBGene00015034
B0207.12a.1,1 / 10,0.032857438216370334,WBGene00000232
B0207.12a.2,1 / 10,0.032857438216370334,WBGene00000232
B0207.12a.3,1 / 10,0.032857438216370334,WBGene00000232
B0207.12b.1,1 / 4,0.08194324524147172,WBGene00000232
B0207.12c.1,1 / 10,0.032857438216370334,WBGene00000232
B0207.4.1,5 / 45,0.02121005687062256,WBGene00000099
B0207.4.2,5 / 46,0.020287880484968036,WBGene00000099
B0207.6.1,1 / 16,0.02195864715565547,WBGene00015029
B0207.9.1,1 / 1,0.3732970019856677,WBGene00015032
B0207.9.2,1 / 1,0.3732970019856677,WBGene00015032
B0212.3.1,1 / 89,0.0006712164147539777,WBGene00015037
B0212.4a.1,1 / 66,0.0034024466857959976,WBGene00015038
B0212.4b.1,1 / 66,0.0034024466857959976,WBGene00015038
B0212.4c.1,1 / 66,0.0034024466857959976,WBGene00015038
B0212.4d.1,1 / 64,0.0034785397426615895,WBGene00015038
B0212.4d.2,1 / 64,0.0034980977974382503,WBGene00015038
B0212.4d.3,1 / 51,0.004385832585834846,WBGene00015038
B0212.5.1,1 / 6,0.10665628599741842,WBGene00003889
B0218.3.1,1 / 4,0.22510371943457194,WBGene00004055
B0222.6.1,23 / 9,0.3314958502442701,WBGene00000717
B0222.7.1,16 / 5,0.403333402896903,WBGene00000718
B0222.8.1,23 / 9,0.3314958502442701,WBGene00000599
B0238.10.1,3 / 16,0.05090413653005111,WBGene00015074
B0238.10.2,3 / 16,0.05090413653005111,WBGene00015074
B0238.11.1,2 / 9,0.0829548891123503,WBGene00015075
B0238.12.1,2 / 41,0.034524578096039205,WBGene00015076
B0238.12.2,1 / 28,0.006577920777354826,WBGene00015076
B0238.9.1,3 / 67,0.009738182630796923,WBGene00015073
B0240.4.1,2 / 15,0.04666212512849385,WBGene00007118
B0244.10b.1,1 / 6,0.08295488923798548,WBGene00015085
B0244.8.1,1 / 1,0.37329700121294285,WBGene00015083
B0250.1.1,6 / 31,0.03612551619080268,WBGene00004413
B0250.8.1,27 / 499,0.0007828580039831444,WBGene00007125
B0252.4a.1,25 / 6,1.2443233347337823,WBGene00000886
B0252.4b.1,26 / 6,1.3272782236977676,WBGene00000886
B0252.5.1,3 / 3,0.37329700069779304,WBGene00015089
B0261.1.1,1 / 13,0.03059811488815496,WBGene00015091
B0261.2a.1,1 / 61,0.004497554251748517,WBGene00002583
B0261.2b.1,1 / 61,0.004497554251748517,WBGene00002583
B0261.5.1,2 / 1,0.7465940011928858,WBGene00015093
B0261.6a.1,3 / 1,1.119891001025003,WBGene00015094
B0261.6b.1,3 / 1,1.119891001025003,WBGene00015094
B0261.7.1,1 / 9,0.0829548891123503,WBGene00015095
B0272.1.1,1 / 2,0.03732970063750804,WBGene00006538
B0273.2.1,30 / 96,0.07130392144097863,WBGene00004243
B0273.3.1,33 / 111,0.07140719138509803,WBGene00015098
B0273.4a.1,1 / 13,0.022198038189075925,WBGene00006745
B0273.4b.1,1 / 10,0.030724033646587566,WBGene00006745
B0273.4c.1,1 / 13,0.022198038189075925,WBGene00006745
B0273.4d.1,1 / 13,0.022198038189075925,WBGene00006745
B0273.4d.2,1 / 12,0.024776350145400885,WBGene00006745
B0273.4e.1,1 / 9,0.036717738565997436,WBGene00006745
B0273.4f.1,1 / 9,0.036717738565997436,WBGene00006745
B0280.3.1,2 / 9,0.08295488923798548,WBGene00015101
B0280.3.2,2 / 9,0.08295488923798548,WBGene00015101
B0280.5.1,2 / 2,0.37329700082658046,WBGene00015102
B0280.9.1,3 / 7,0.1599844289080562,WBGene00015104
B0281.4.1,1 / 92,0.001971639093331622,WBGene00015111
B0284.3.1,45 / 150,0.02234332411481993,WBGene00007133
B0285.1a.1,2 / 13,0.05743030829642818,WBGene00007135
B0285.1a.2,2 / 13,0.05743030829642818,WBGene00007135
B0285.1b.1,5 / 14,0.25664168814636024,WBGene00007135
B0285.1b.2,2 / 13,0.05743030829642818,WBGene00007135
B0285.1c.1,5 / 15,0.21611931634955514,WBGene00007135
